Parts,Link/STL,Amount,FIlimant ,Time ,Price,,Total:,
Heated  inserts ,https://us.amazon.com/Yaocom-Inserts-Threaded-Printing-Components/dp/B0FGCX5XT4/ref=sr_1_4?crid=1JK3E29NWDLGT&dib=eyJ2IjoiMSJ9.toCK1asWOh0JfCOtRQp-JP7tM0f7cp4aP8nawM6RxxdoGLpkr0eJnUqeOTcJycGKvPnRJguzsmFv-VKIGrcPj35Qr5SwJpibXz75p8M1w94ZsSp23c0AEfa2a_GHBErBvoI58m4LcqTzUS4Bugxm-FSJVWSLVTAYuaahM9dRskC70bQCR77iJQjpIgafRoH3zW0pTL4iTjknmL56hJrSNVLNFBaMjNuWZs82d12kw5SzJdX0HchkKnrGUAU3evA2YwuYlrZlvaj3_z92vemhCR3GnU7mvlyj6D-dXkgDfqI.18ixEQwNGFS7lo3ZweMDsWvtMXRadA6iFjhrWg9Yz3o&dib_tag=se&keywords=heat%2Bset%2Binsert%2Bm4&qid=1770397941&s=industrial&sprefix=30%2Bpack%2Bball%2Bbearings%2Bid%2B5mm%2Bx%2Bod%2B14mm%2Bx%2Bwidth%2B5mm%2Cindustrial%2C358&sr=1-4&th=1,x1,0,0,$9.99,,,
Micro Limit Switch,https://us.amazon.com/HiLetgo-KW12-3-Roller-Switch-Normally/dp/B07X142VGC/ref=sr_1_1?crid=KPHU5Q5MLPZV&dib=eyJ2IjoiMSJ9.CRkRhZ-JiEm5GgIiGEGZZQU9fgowsX_u7OXY3PVkHUkQFBo2WuuER34YGtZ-AL_peIuh1SrrimQqKqDGdVDxBAZZSBpVx1_-LhmXcbLalGKyyv7rRMRWjYK92WwdJBCt_qVVso0OnoVMR-UWsa_B-RQhRMQ50Yzc-ARrH_gWnfYAT9A5jCSg8RJ1GJQILfCeb-THpisAnGtz5vBtu7WStYpLyo8tlZxywTn2qmLfDZNJHyUyF_YIDFA_w67wFdvezImtaaTJKcewCrTPw4bgEjj7xba2AkiAURzQfktcffA.rjgLybM47uwMv4XpdMSOFXquqSt7RXFPN9B2Mk0y9G8&dib_tag=se&keywords=micro+switch&qid=1770578322&s=industrial&sprefix=micro+switch+%2Cindustrial%2C200&sr=1-1,x1,0,0,$5.99,,,
M4 Screws Assortment Kit,https://us.amazon.com/Fgruh-Assortment-Washers-Assorted-Printer/dp/B0FGV8F6G7/ref=sr_1_3?crid=3E7LM5PMOISVG&dib=eyJ2IjoiMSJ9.d42GP8oet_6UAc7DTGjAofvFGThaYEdx6cbQTV6AVzg460V8sNH-Dj0aO9ko2JZFBNZaDeQeGcnmjEkNg0PjMD-CUN6gzttd1tEFGTCxxz0AKfKLELdyymQIVPEvJ7ONR2dykAlhvssDsPYKDbV8RBmoFiL44B_LsyNzJISy92l6N3c14qZkvjc4kGll6kdFGtSdrvV_eJDwkySRFHT-VTh7n1DmpXkUyjKr6s7NWZbFxn6tBRiTKt5HOe11JQ6HYQIwNpdKVJvUuChGXPv1gl2dlKTED975MB6hxIbQKRM.dNL1uZTvCnGdE_XPRKClO0WHE5RQC4jxQzd3MErGu0E&dib_tag=se&keywords=m4%2Bbolts%2Band%2Bnuts&qid=1770578498&s=industrial&sprefix=m4%2Bbolts%2Band%2Bnuts%2Cindustrial%2C303&sr=1-3&th=1,x1,0,0,$9.99,,,
M4 T Nuts,https://us.amazon.com/HELIFOUNER-Pieces-2020-Aluminum-Profile/dp/B0B1LTL6M5/ref=sr_1_3?crid=1HRNAKMHSAVZZ&dib=eyJ2IjoiMSJ9.wtzUJF_f5qLE-teCw0qjqpxXU49SzSe_A1t6ehGMLVpx5muPcxlsp6e6pb2c4QAChhZ6ELI6xoUpGj0-1NDedi_pmFaYhiCiOsR2zR6oLO7DcPFTuqkQ-sTaWPjBGsYuufRriKdREL3TlM4Prbpx9xl4cgbCLiurpVoN2LKlub5UWxS97N4gqvOJg8-gofktg9qLOK6OOiJBVlYrlW3JcyF6xmQh4N7uCo4OMJRXWI3imcgdykiRvvxfoInhxPwz3PuKkVlfEFseEoE6RaXXMzOmhyPhH1E_afAJ0k1-6YM.NBwBpEMiBKpT7nk5iwbV87BmwAhhfAaEugMu6Z8As90&dib_tag=se&keywords=t%2Bnuts%2Bm4&qid=1770578820&s=industrial&sprefix=t%2Bnuts%2Bm%2Cindustrial%2C246&sr=1-3&th=1,x1,0,0,$5.99,,,
4kg pla ,https://us.amazon.com/SUNLU-2-0-Filament-Stronger-Dimensional/dp/B0DGXFXP45/ref=sr_1_4?crid=3Q5ZHWOL683IS&dib=eyJ2IjoiMSJ9.ZkMTJRa0P6SD6tAQ_hHIqeaBbnYb1nupp2SWTvWdW_njdZvZRmVMfREiSDeJmoUWtn7yueCj-04yK33dJlZB1ygg1xRO0tegbW8T5l18GmQBsbuE5T0xU1aMSyRPfQpoAlkkVAB4SnkBREyIchtq33aaWN4t3ZXmmOldCniyycdiNMlO8VPbSeV7DmBvNfA6sH3vnNjG0ihkGyknExAgVz_UzGPDXFI0dMLmUyivunKGHEIWlvG0Tf0-Rh9SctDHUOHQy23_aIMsWkFZFu0oXE2qeaYO5Pkhmbwg2x0PMWU.0533FRRIFo4UOikacpnwcUyRk0Xr3eOAUAabrjU_eGg&dib_tag=se&keywords=pla%2B4%2Bkg&qid=1770579667&s=industrial&sprefix=pla%2B4%2Bkg%2Cindustrial%2C395&sr=1-4&xpid=qkhJ-alZLYwDM,x1,0,0,$42.99,,,
3D Printed parts:                                                      ,,,,,,,,
Wall ,Github,x14,1876,98.5,,,,
Corner ,Github,x4,248,20,,,,
Cover ,Github,x14,392,21,,,,
Corner Cover,Github,x4,85,4,,,,
