Parts,Link/STL,Amount,FIlimant ,Time ,Price,,Total:,
150mm Lead Screw,https://www.aliexpress.us/item/3256801899005803.html?spm=a2g0o.productlist.main.25.1dc0aWwWaWwWHG&algo_pvid=b1852c8a-38b8-442c-9c41-af11cc2907a2&algo_exp_id=b1852c8a-38b8-442c-9c41-af11cc2907a2-24&pdp_ext_f=%7B%22order%22%3A%22496%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.09%214.99%21%21%215.09%214.99%21%40210325a917749922496814806ece62%2112000018692531095%21sea%21US%217407696940%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adfd0ebe8%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827851&curPageLogUid=w9pugqSlAPDX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002085320555%7C_p_origin_prod%3A,x1,0,0,$4.99,,,
60 Teeth Pulley,https://www.aliexpress.us/item/3256808471298920.html?spm=a2g0o.productlist.main.1.5ac1z3rpz3rpCd&algo_pvid=994edcf3-5054-4a96-920e-dd92d9a5badc&algo_exp_id=994edcf3-5054-4a96-920e-dd92d9a5badc-0&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.27%213.17%21%21%2122.45%2121.76%21%40210311a017749923638745970eac9e%2112000046123782774%21sea%21US%217407696940%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adfd0ebe8%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827852&curPageLogUid=hzfh6dURDCd6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008657613672%7C_p_origin_prod%3A,x1,0,0,$3.39,,,
Power Supply,https://www.aliexpress.us/item/3256802657514911.html?spm=a2g0o.productlist.main.14.2c54USshUSshuG&algo_pvid=5b60b985-73f4-4669-bb7e-3c887f2c6201&algo_exp_id=5b60b985-73f4-4669-bb7e-3c887f2c6201-13&pdp_ext_f=%7B%22order%22%3A%222938%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.83%215.01%21%21%219.83%215.01%21%402103212b17749924970508001e14b2%2112000022434674515%21sea%21US%217407696940%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adfd0ebe8%3Bm03_new_user%3A-29895&curPageLogUid=qE0enDdgIHIP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002843829663%7C_p_origin_prod%3A,x1,0,0,$5.01,,,
CNC Shield,https://www.aliexpress.us/item/3256806291794239.html?spm=a2g0o.productlist.main.7.2c37afdFafdF2h&algo_pvid=11f8a484-83f5-47d4-b272-26e3f9cd8e25&algo_exp_id=11f8a484-83f5-47d4-b272-26e3f9cd8e25-6&pdp_ext_f=%7B%22order%22%3A%222567%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.49%211.39%21%21%2110.21%219.52%21%40210311c217749926665037127e52dc%2112000037347058705%21sea%21US%217407696940%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adfd0ebe8%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827851&curPageLogUid=DBW0x0jpyAcl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006478108991%7C_p_origin_prod%3A,x1,0,0,$8.27,,,
Emergency Stop,https://www.aliexpress.us/item/3256810118000497.html?spm=a2g0o.productlist.main.16.5ac0SmSFSmSF4Y&algo_pvid=a3a526db-5b6b-4448-a259-d050cbdb8172&algo_exp_id=a3a526db-5b6b-4448-a259-d050cbdb8172-15&pdp_ext_f=%7B%22order%22%3A%2245%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.80%213.23%21%21%2146.73%2122.21%21%402103122117749927849604629e658b%2112000051866325010%21sea%21US%217407696940%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adfd0ebe8%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827852&curPageLogUid=J8NgumNhCQzg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010304315249%7C_p_origin_prod%3A,x1,0,0,$3.23,,,
Timing Belt,https://www.aliexpress.us/item/3256810100027326.html?spm=a2g0o.productlist.main.12.7e74haAKhaAKZB&algo_pvid=6dde1c79-2036-4c8a-8bb8-01ea057e508b&algo_exp_id=6dde1c79-2036-4c8a-8bb8-01ea057e508b-11&pdp_ext_f=%7B%22order%22%3A%2212%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.66%215.36%21%21%2152.68%2136.88%21%402101f11417749928864855066e662a%2112000051795328470%21sea%21US%217407696940%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adfd0ebe8%3Bm03_new_user%3A-29895&curPageLogUid=t50hUqbLMTxo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010286342078%7C_p_origin_prod%3A,x1,0,0,$7.11,,,
150mm Linear  Rail,https://www.amazon.com/uxcell-Sliding-Carriage-Bearing-Printers/dp/B0D54LDBHN/ref=sr_1_10?crid=2F2GL8P42384B&dib=eyJ2IjoiMSJ9.5ns49lVnmQzUrIQnVm70Lb7MoN230NsMZHp5BPE5pnBG9mXeWgg1So1RWK2G9VrSoOw6zzUPVG6ljQaChIAgCUUEc2fe3wa6dlGGSaLbTB5382gjYPA6_4Yx1SLfYAFp3gP2Kg3dcJvQcECzj5Zd5ugpqGXJa0DsGrrphDHIGhq7--eCGeIxWc5zninVLbj9B3rY20n6hZApXJfF8vFWNmNK2nETax0ncFgeqWKRObT8qt55v7uHYbr_I7AJYT_tcCzTHNoKvgaDmtPMzPEw6skslaiIHFtaq560gchru3Y.1_yO0vWgE096pwnfIAfgszt2Q4iOnjmJ-zh4jvtud1Y&dib_tag=se&keywords=MGN12+150mm+Linear+Guide+Rail&qid=1774997506&s=industrial&sprefix=mgn12+150mm+linear+guide+rail%2Cindustrial%2C176&sr=1-10,x1,0,0,$18.69,,,
20x20 extrusion ,https://jlcmc.com/product/s/T01/TXCX/extruded-aluminum-t-slot-15-series(gb)?k=TXCX-H1-3-1515-L600&productModelNumber=TXCX-H1-3-1515-L%5B50~6000%2F0.1%5D,x1,0,0,$1.89,,,
(purchased) Makita router ,https://www.inventables.com/products/makita-router?variant=41037047398457,x1,0,0,N/A,,,
Heated  inserts ,https://www.amazon.com/Yaocom-Inserts-Threaded-Printing-Components/dp/B0DG59PW2R/ref=sr_1_4?crid=39CR26NB2EUM4&dib=eyJ2IjoiMSJ9.SJzCri0pQv_X1l8T5HZNmp7ZTSgrXw2wC9SGd8nyj7USFUYEkgosdtVGq4kT8KwJ1Jcj_xNmWc4Qq_vaOX_dMyrZv2v1rTfworLeYxkuohgFO8vN_IO1CZCaPK3gUjWphN9BhHZKul1HoH5vN19NpbQiXOXOO6HlpgG3KCQHfYoRNC4Q02o3ouFUEBCwft-Eq352Ckq_Wx9oWnKCHcG0lZuwCL-XSZqLTho9Ao8tbHg.7bN5eS_41McdKynMQ8aE3Yz3l4wPjKJQY-ThJiy3u2U&dib_tag=se&keywords=m3%2Bheated%2Binserts&qid=1770731733&sprefix=m3%2Bheated%2Binsert%2Caps%2C187&sr=8-4&th=1,x1,0,0,$9.99,,,
Micro Limit Switch,https://us.amazon.com/HiLetgo-KW12-3-Roller-Switch-Normally/dp/B07X142VGC/ref=sr_1_1?crid=KPHU5Q5MLPZV&dib=eyJ2IjoiMSJ9.CRkRhZ-JiEm5GgIiGEGZZQU9fgowsX_u7OXY3PVkHUkQFBo2WuuER34YGtZ-AL_peIuh1SrrimQqKqDGdVDxBAZZSBpVx1_-LhmXcbLalGKyyv7rRMRWjYK92WwdJBCt_qVVso0OnoVMR-UWsa_B-RQhRMQ50Yzc-ARrH_gWnfYAT9A5jCSg8RJ1GJQILfCeb-THpisAnGtz5vBtu7WStYpLyo8tlZxywTn2qmLfDZNJHyUyF_YIDFA_w67wFdvezImtaaTJKcewCrTPw4bgEjj7xba2AkiAURzQfktcffA.rjgLybM47uwMv4XpdMSOFXquqSt7RXFPN9B2Mk0y9G8&dib_tag=se&keywords=micro+switch&qid=1770578322&s=industrial&sprefix=micro+switch+%2Cindustrial%2C200&sr=1-1,x1,0,0,$5.99,,,
M3 T Nuts,https://www.amazon.com/HELIFOUNER-Pieces-2020-Aluminum-Profile/dp/B0B1LTNX7F/ref=sr_1_3?crid=1A7NNP9ENUH6V&dib=eyJ2IjoiMSJ9.WCI8TsvslLZgSyWXubKO4GTSyJwxSWjalcMcaEV4-68A1MH4FhFF_xJbiLHeHyjcKeJ2W424jGipo3ZZ9_QMSW_PUPNXKg-OhLHxAKXBdAOEdrb6JVHGR7h3OPPiO7vLyj2W1zI4-X1bXA120BirmNJ9HbjiqPBeFKwz1QMmYXQ_M_0vCMHJ9RyS8R93bqy0cW-bufn6Y40LAEfN-pmiROqooFKKBzG9DePFcWstqNM.-k8wUmB4HkhX7SI9CcNZuizgyQtB3LFl9pxvWKO2peQ&dib_tag=se&keywords=M3%2Bt%2Bnuts&qid=1770731637&sprefix=m3%2Bt%2Bnut%2Caps%2C185&sr=8-3&th=1,x1,0,0,$4.99,,,
(purchased) M3 Screws Assortment Kit ,https://www.amazon.com/Screws-Assortment-Plated-Socket-Washers/dp/B0D3X5CT2J/ref=sr_1_3?crid=1ORJ5FHAY7Y13&dib=eyJ2IjoiMSJ9.vv4GXFrh86tEsYWYdyIMZh5bPzya6lwecSwP28lT2iOahsmW4nzuvXZIdtpoQ4ioMyE9FJkSnud_2NyW-ML3Q7VsOclQpxRaJWEQ7DOlbvwWokrvWoz5p3-FKExBURn4ZNnxmqAgXcpm0AqRCyybDto33pUK_pyXmnDKXlvLrnlPzL7iXBFr4UrEezZnQeiDxmmjGB0_bi6OUxtwvl6iXpQWf8rx7ZCsAIihJnKXGlc.PZd3M844iwHSS8vy2-okzdTJ4y6MdqKvvRzuKFJip9U&dib_tag=se&keywords=M3%2BScrews%2BBolts%2BNuts&qid=1770731560&sprefix=m3%2Bscrews%2Bbolts%2Bnuts%2Caps%2C159&sr=8-3&th=1,x1,0,0,$7.99,,,
(purchased) 4kg pla ,https://us.amazon.com/SUNLU-2-0-Filament-Stronger-Dimensional/dp/B0DGXFXP45/ref=sr_1_4?crid=3Q5ZHWOL683IS&dib=eyJ2IjoiMSJ9.ZkMTJRa0P6SD6tAQ_hHIqeaBbnYb1nupp2SWTvWdW_njdZvZRmVMfREiSDeJmoUWtn7yueCj-04yK33dJlZB1ygg1xRO0tegbW8T5l18GmQBsbuE5T0xU1aMSyRPfQpoAlkkVAB4SnkBREyIchtq33aaWN4t3ZXmmOldCniyycdiNMlO8VPbSeV7DmBvNfA6sH3vnNjG0ihkGyknExAgVz_UzGPDXFI0dMLmUyivunKGHEIWlvG0Tf0-Rh9SctDHUOHQy23_aIMsWkFZFu0oXE2qeaYO5Pkhmbwg2x0PMWU.0533FRRIFo4UOikacpnwcUyRk0Xr3eOAUAabrjU_eGg&dib_tag=se&keywords=pla%2B4%2Bkg&qid=1770579667&s=industrial&sprefix=pla%2B4%2Bkg%2Cindustrial%2C395&sr=1-4&xpid=qkhJ-alZLYwDM,x1,0,0,$42.99,,,
,,,,,,,,
3D Printed parts:                                                      ,,,,,,,,
Wall ,,x14,1876,98.5,,,,
Corner ,,x4,248,20,,,,
Cover ,,x14,392,21,,,,
Corner Cover,,x4,85,4,,,,
Rail Rider ,,x1,127,4.6,,,,
bearng cover,,x4,20,0.7,,,,
Z Axis base ,,x1,105,4.5,,,,
Z Axis rail,,x1,155,6,,,,
Router mount ,,x1,80,4,,,,
Belt clip,,x4,60,4,,,,
Z Axis top ,,x1,94,4.5,,,,
Rail Rider flip ,,x1,127,4.6,,,,
electronics box,,x2,395,19,,,,
stop position ,,x1,2,0.2,,,,
elctronics box lid ,,x2,100,4,,,,
